,株式コード,ＥＤＩＮＥＴコード,上場区分,連結の有無,資本金,提出者名,所在地,提出者業種,緯度,経度,都道府県名
194,3626.T,E05739,上場,有,10001.0,ＴＩＳ株式会社,新宿区西新宿８丁目１７番１号,情報・通信業,35.696292,139.690659,東京都
195,8750.T,E06141,上場,有,343926.0,第一生命ホールディングス株式会社,千代田区有楽町一丁目１３番１号,保険業,35.675837,139.760817,東京都
196,6098.T,E07801,上場,有,40000.0,株式会社リクルートホールディングス,中央区銀座８－４－１７,サービス業,35.66858,139.759398,東京都
197,3141.T,E21035,上場,有,7736.0,ウエルシアホールディングス株式会社,千代田区外神田二丁目２番１５号,小売業,35.699456,139.767884,東京都
198,4578.T,E21183,上場,有,81690.0,大塚ホールディングス株式会社,千代田区神田司町２－９,医薬品,35.693506,139.766949,東京都
199,2269.T,E21902,上場,有,30000.0,明治ホールディングス株式会社,中央区京橋二丁目４番１６号,食料品,35.676928000000004,139.768971,東京都
200,8630.T,E23924,上場,有,100045.0,ＳＯＭＰＯホールディングス株式会社,新宿区西新宿一丁目２６番１号,保険業,35.692591,139.696522,東京都
201,5020.T,E24050,上場,有,100000.0,ＥＮＥＯＳホールディングス株式会社,千代田区大手町一丁目１番２号,石油・石炭製品,35.686064,139.761993,東京都
202,4581.T,E25678,上場,有,30000.0,大正製薬ホールディングス株式会社,豊島区高田三丁目２４番１号,医薬品,35.715146000000004,139.710093,東京都
203,3659.T,E25850,上場,有,51987.0,株式会社ネクソン,港区六本木一丁目４番５号,情報・通信業,35.665694,139.739445,東京都
204,4587.T,E27486,上場,無,3930.0,ペプチドリーム株式会社,川崎市川崎区殿町三丁目２５番２３号,医薬品,35.539343,139.758673,神奈川県
205,2587.T,E27622,上場,有,168384.0,サントリー食品インターナショナル株式会社,中央区京橋三丁目１番１号,食料品,35.6761,139.768382,東京都
206,3291.T,E27759,上場,有,10000.0,飯田グループホールディングス株式会社,武蔵野市西久保一丁目２番１１号,不動産業,35.704438,139.559236,東京都
207,3694.T,E30918,上場,無,443.0,株式会社オプティム,佐賀市本庄町１,情報・通信業,33.242882,130.293161,佐賀県
208,6178.T,E31748,上場,有,3500000.0,日本郵政株式会社,千代田区大手町二丁目３番１号,サービス業,35.686859000000005,139.767437,東京都
209,7181.T,E31755,上場,有,500000.0,株式会社かんぽ生命保険,千代田区大手町二丁目３番１号,保険業,35.686859000000005,139.767437,東京都
210,7182.T,E31775,上場,無,3500000.0,株式会社ゆうちょ銀行,千代田区丸の内二丁目７番２号,銀行業,35.679845,139.76472900000002,東京都
211,9143.T,E32292,上場,有,11882.0,ＳＧホールディングス株式会社,京都市南区上鳥羽角田町６８番地,陸運業,34.969512,135.747854,京都府
212,4385.T,E34064,上場,有,8789.0,株式会社メルカリ,港区六本木六丁目１０番１号六本木ヒルズ森タワー１８階,情報・通信業,35.660734999999995,139.729207,東京都
213,8951.T,E37332,上場,,,日本ビルファンド投資法人,千代田区丸の内一丁目9番1号,不動産業,35.68173,139.766185,東京都
214,3283.T,E37333,上場,,,日本プロロジスリート投資法人,千代田区丸の内二丁目7番3号,その他金融業,35.678607,139.764936,東京都
215,8952.T,E37334,上場,,,ジャパンリアルエステート投資法人,千代田区大手町一丁目1番1号,不動産業,35.686724,139.762621,東京都
216,3281.T,E37335,上場,,,GLP投資法人,港区東新橋一丁目5番2号,その他金融業,35.665619,139.760797,東京都
217,3462.T,E37336,上場,,,野村不動産マスターファンド投資法人,新宿区西新宿八丁目5番1号,その他金融業,35.694654,139.693058,東京都
218,3292.T,E37337,上場,,,イオンリート投資法人,千代田区神田錦町一丁目2番地1,その他金融業,35.692674,139.764609,東京都
