,株式コード,資本金,提出者名,提出者業種,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,従業員数(連結),平均年齢,平均年収,設立年,上場年
109,9021.T,100000.0,西日本旅客鉄道株式会社,陸運業,16.5,74.6,2.8,2.6,2.7,3.2,2.3,2.7,4.7,2.5,48737,38.4,6110,1987,1996
110,6383.T,31865.0,株式会社ダイフク,機械,34.9,54.6,3.4,2.9,3.3,2.9,2.9,2.5,3.6,2.4,11874,42.7,8460,1937,1961
111,4188.T,50000.0,株式会社三菱ケミカルホールディングス,化学,12.1,70.7,3.0,2.8,2.9,3.5,2.8,2.8,3.7,2.9,69607,45.6,10110,2005,2005
112,6146.T,14517.0,株式会社ディスコ,機械,42.2,47.0,2.7,2.8,3.5,2.9,3.6,2.1,3.6,2.6,4238,38.1,9650,1940,1989
113,5802.T,99736.0,住友電気工業株式会社,金属,24.5,62.4,3.8,2.8,3.3,3.0,3.0,3.0,4.7,2.6,286784,41.7,7780,1911,1949
114,8951.T,,日本ビルファンド投資法人,不動産業,None,None,3.0,2.9,2.9,2.8,2.9,2.9,2.9,3.0,0,0,0,None,2001
115,7259.T,45049.0,株式会社アイシン,輸送用機器,21.8,90.2,3.5,2.6,2.9,2.8,2.8,2.5,4.5,2.8,117502,39.5,6990,1949,1952
116,3769.T,4712.0,ＧＭＯペイメントゲートウェイ株式会社,情報・通信業,35.1,64.8,2.9,3.9,3.3,2.9,4.0,2.4,4.0,3.7,625,34.3,6860,1995,2005
117,3064.T,1837.0,株式会社ＭｏｎｏｔａＲＯ,小売業,14.3,79.6,2.9,3.9,3.9,3.7,3.3,3.2,3.4,3.3,880,37.0,5590,2000,2006
118,9202.T,318789.0,ＡＮＡホールディングス株式会社,空運業,2.0,96.5,3.0,3.3,3.1,3.4,3.4,3.4,3.4,3.4,46580,45.2,5630,1952,1961
119,4324.T,74609.0,株式会社電通グループ,サービス業,None,None,None,None,None,None,None,None,None,None,62661,46.4,13410,1906,2001
120,7202.T,40644.0,いすゞ自動車株式会社,輸送用機器,25.8,60.7,2.7,2.6,3.0,2.7,2.9,2.5,4.3,2.5,36882,41.3,7590,1937,1949
121,3402.T,147873.0,東レ株式会社,その他製品,28.5,69.3,2.8,2.8,3.0,3.3,2.9,3.2,4.7,2.7,46267,39.0,6710,1926,1949
122,6965.T,34964.0,浜松ホトニクス株式会社,電気機器,18.3,71.1,3.4,3.2,3.5,3.3,2.8,3.1,4.4,2.3,5181,40.3,6910,1953,1984
123,7532.T,22699.0,株式会社パン・パシフィック・インターナショナルホールディングス,小売業,37.6,47.2,2.4,3.2,3.1,2.9,3.4,2.3,3.1,3.4,16838,39.7,6040,1980,1996
124,4385.T,8789.0,株式会社メルカリ,情報・通信業,22.3,80.8,4.1,3.5,3.8,3.9,3.7,2.5,3.6,3.4,1752,0,0,2013,2018
125,8308.T,50552.0,株式会社りそなホールディングス,銀行業,25.3,72.6,2.5,2.6,3.8,3.0,2.6,2.5,4.8,2.5,20712,40.0,6620,2001,2001
126,6963.T,86969.0,ローム株式会社,電気機器,28.8,55.3,3.4,2.7,2.7,2.7,3.6,2.4,4.0,2.8,22830,40.9,7090,1958,1983
127,3092.T,1359.0,株式会社ＺＯＺＯ,小売業,16.9,80.5,2.8,3.0,4.1,3.9,2.8,2.3,3.8,2.7,1331,33.0,5470,2000,2007
128,7272.T,85905.0,ヤマハ発動機株式会社,輸送用機器,20.7,67.5,3.4,3.0,4.0,3.4,3.1,2.8,4.5,2.8,51879,43.3,7140,1955,1961
129,7951.T,28534.0,ヤマハ株式会社,その他製品,21.1,55.6,4.0,3.0,3.6,3.2,2.8,2.8,4.8,2.8,20144,44.5,8840,1897,1949
130,4751.T,7203.0,株式会社サイバーエージェント,サービス業,46.1,50.7,3.1,4.6,4.5,4.5,4.8,2.8,2.8,3.7,5958,33.2,7330,1998,2000
131,4768.T,10374.0,株式会社大塚商会,情報・通信業,35.8,37.1,3.5,2.9,2.6,2.8,3.9,2.5,2.9,4.3,9340,41.3,8430,1961,2000
132,2269.T,30000.0,明治ホールディングス株式会社,食料品,None,None,3.2,3.0,3.2,3.0,2.9,2.9,3.2,3.0,17832,44.1,9980,2009,2009
133,8601.T,247397.0,株式会社大和証券グループ本社,証券、商品先物取引業,22.2,71.9,4.2,2.9,3.3,3.0,3.7,3.8,4.6,4.5,15332,42.1,10070,1943,1961
134,3283.T,,日本プロロジスリート投資法人,その他金融業,None,None,None,None,None,None,None,None,None,None,0,0,0,None,2013
135,4062.T,64152.0,イビデン株式会社,電気機器,40.1,47.7,2.8,2.2,2.6,2.7,3.2,2.3,3.2,2.9,13046,40.9,6840,1912,1949
136,9201.T,181352.0,日本航空株式会社,空運業,12.8,79.4,2.9,3.7,3.0,4.4,2.9,3.3,4.8,2.6,36060,39.2,6780,1953,2012
137,9005.T,121724.0,東急株式会社,陸運業,26.7,65.4,2.3,2.9,3.5,4.1,2.4,2.9,5.0,2.1,24963,42.6,7620,1922,1949
138,4021.T,18942.0,日産化学株式会社,化学,28.3,60.7,4.3,3.1,4.0,3.6,3.1,2.8,4.5,2.6,2736,40.0,8060,1921,1949
139,9503.T,489320.0,関西電力株式会社,電気・ガス業,27.7,80.7,3.6,2.8,3.0,3.7,2.6,3.0,4.7,2.7,32612,43.1,8360,1951,1951
140,4704.T,18386.0,トレンドマイクロ株式会社,情報・通信業,25.0,69.3,3.2,3.1,4.0,3.8,3.2,2.7,4.4,2.9,6972,39.5,9210,1989,1998
141,5332.T,35579.0,ＴＯＴＯ株式会社,ガラス・土石製品,21.4,73.7,3.6,3.1,3.6,3.7,2.9,3.1,4.8,2.7,33800,43.4,6690,1917,1949
142,9104.T,65400.0,株式会社商船三井,海運業,40.2,53.3,4.6,3.5,4.0,4.0,3.2,3.1,4.3,2.8,8571,37.9,10260,1884,1949
143,2267.T,31117.0,株式会社ヤクルト本社,食料品,18.1,45.9,3.3,2.6,2.7,3.4,2.5,2.5,3.8,2.1,28798,42.3,7740,1955,1980
144,8952.T,,ジャパンリアルエステート投資法人,不動産業,None,None,None,None,None,None,None,None,None,None,0,0,0,None,2001
145,5486.T,26284.0,日立金属株式会社,金属,29.6,43.0,2.9,2.5,2.8,2.7,2.8,2.6,3.4,2.7,28278,43.4,6460,1956,1961
